Type,Name,Street Address,City,Latitude,Longitude,Image,NYPL
Hotel,Clark,"1824 Central Ave., Los Angeles, California, United States",Los Angeles,34.049784,-118.046846,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd0
Hotel,Arcade,"542 Ceres Ave., Los Angeles, California, United States",Los Angeles,34.0405643,-118.2407291,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd1
Hotel,Lincoln,"549 Ceres Ave., Los Angeles, California, United States",Los Angeles,34.040432,-118.241163,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd2
Hotel,Sberidan,"1824 Central Ave., Los Angeles, California, United States",Los Angeles,34.049784,-118.046846,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd3
Hotel,McAlpin,"648 Stanford Ave., Los Angeles, California, United States",Los Angeles,34.0395808,-118.2436406,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd4
Hotel,Elite,"1217 South Central Ave., Los Angeles, California, United States",Los Angeles,34.0300306,-118.245383,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd5
Hotel,Olympic,"843 South Central Ave, Los Angeles, California, United States",Los Angeles,34.0325885,-118.2438409,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd6
Hotel,Regal,"815 East 6th St., Los Angeles, California, United States",Los Angeles,34.0406819,-118.242206,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd7
Hotel,Sojourner's,"1119 East Adams Blvd., Los Angeles, California, United States",Los Angeles,34.018663,-118.2541265,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd8
Hotel,Kentucky,"1123 Central Ave., Los Angeles, California, United States",Los Angeles,34.0304349,-118.2451066,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,https://digitalcollections.nypl.org/items/29219280-892b-0132-4271-58d385a7bbd9
