Type,Name,Street Address,City,Latitude,Longitude,Image,NYPL
Hotel,Buford,1969 Sutter St.,San Francisco,37.7859684,-122.4326899,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Hotel,The Scaggs,1715 Webster St.,San Francisco,37.7866573,-122.4319931,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Hotel,Powell,Powell Street and Market Street,San Francisco,37.7846003,-122.4073378,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Tourist Homes,Mrs. F. Johnson,1788 Sutter St.,San Francisco,37.7866529,-122.4296926,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Tourist Homes,Helen's Guest House,1951 Sutter St.,San Francisco,37.7862008,-122.4324092,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Restaurants,Calif. Theatre,1605 Post St.,San Francisco,37.7854188,-122.428141,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Beauty Parlor,Arineica's,1928 Fillmore St.,San Francisco,37.7876005,-122.4333424,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Tavern,Jack's,1931 Sutter St.,San Francisco,37.7861373,-122.4320463,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Night Club,Town Club,1963 Sutter St.,San Francisco,37.785977,-122.4326014,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
Drug Stores,Riggan's,2600 Sutter St.,San Francisco,37.7849566,-122.4433842,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Negro_Motorist_Green_Book.jpg/646px-The_Negro_Motorist_Green_Book.jpg,
